# Ud·losti AE jednotky 18.01
# form·t ¯·dku: Ëas zaË·tku, dÈlka [us], maximum [mV], rise time [us], c1 [count], c2 [count], risetime c1 [count], risetime c2 [count], vzorkov·na [+/-]
#
# konfigurace jednotky:
# zesÌlenÌ g=35 [dB]
# maxim·lnÌ rozsah mÏ¯enÌ adc=2000 [mV]
# count prahy c1=204 [mV], c2=604 [mV]
# ud·lostnÌ prahy es=400 [mV], ee=400 [mV], mrtv· doba dt=992 [us]
# osciloskop trg=400 [mV], pamÏù sm=12000 [slov], pretrigger pt=500 [slov]
# osciloskop perioda pr=500 [ms], timeout to=5000 [ms], vzorkov·nÌ rt=4 [MHz]
# trigger zdroj ts=(TRG_EVENT), master tm=()
# interval count ic=1000 [ms]
#
# hodnota 'cycle': 2021/03/17 12:13:16.159000
13260456966.634516	 170475516	     1235	2000	        7	      142	       56	        3	        4	+	A
13260456995.645498	 199486499	     1117	2000	       14	       91	       19	        2	        2	-	A
13260457034.482655	 238323654	     1096	1436	       25	       94	       15	        8	        8	+	A
13260457037.542725	 241383725	     1157	2000	       13	      101	       17	        4	        3	+	A
13260457037.547443	 241388443	     1303	2000	       12	      105	       28	        4	        3	-	A
13260457037.555481	 241396481	     1107	2000	       13	       96	       18	        3	        3	-	A
13260457037.784410	 241625411	     1168	2000	       46	      108	       24	       12	        8	-	A
13260457039.044809	 242885809	     1098	 988	        1	       96	       10	        1	        1	-	A
13260457065.544996	 269385997	     1154	2000	       29	      102	       16	        9	        7	+	A
13260457089.585155	 293426155	     1099	2000	       28	      105	       17	       12	        8	+	A
13260457089.870256	 293711256	     2048	2000	       12	      251	       76	        4	        3	-	A
13260457089.873436	 293714436	     6148	2000	      678	      574	      109	       57	        4	-	A
13260457089.885384	 293726384	     1098	 470	      120	       69	        0	        7	        0	-	A
13260457089.909300	 293750300	     1404	2000	      323	      111	       17	       26	        4	-	A
13260457089.936329	 293777330	     2583	1750	       67	      258	       54	       10	        9	-	A
13260457125.873068	 329714069	     1772	 746	      780	      133	        2	       67	        2	-	A
13260457125.882847	 329723846	     2219	 988	       36	      230	       17	        8	        3	-	A
13260457125.886562	 329727563	     1190	2000	       26	      119	       25	       10	        9	-	A
13260457125.929157	 329770157	     1108	 424	      121	       61	        0	        9	        0	-	A
13260457125.933210	 329774210	     1583	 494	      601	      104	        0	       38	        0	-	A
13260457125.938543	 329779543	     1418	 454	      134	       89	        0	       11	        0	-	A
13260457125.942102	 329783103	     4562	 550	     1947	      344	        0	      135	        0	-	A
13260457125.974003	 329815004	     5013	2000	       16	      652	      242	        2	        2	-	A
13260457126.005575	 329846575	     2034	2000	      751	      301	       84	      149	       32	-	A
13260457126.240294	 330081295	     1204	 596	      157	       84	        0	       11	        0	-	A
13260457126.573212	 330414211	    10770	2000	     1641	     1884	     1066	      249	       21	-	A
13260457126.588173	 330429173	     1376	2000	       45	      181	       78	       12	       10	-	A
13260457126.590855	 330431855	     1159	2000	       13	      121	       34	        5	        4	-	A
13260457126.599850	 330440849	     2581	1930	     1503	      230	       18	      128	        8	-	A
13260457126.610218	 330451218	     2291	1576	        4	      196	        7	        2	        1	-	A
13260457126.627670	 330468671	     2535	2000	      485	      361	      142	       69	       16	-	A
13260457126.632288	 330473288	     1773	2000	       10	      199	       53	        3	        4	-	A
13260457126.670895	 330511895	     1503	2000	      149	      181	       67	       21	        4	-	A
13260457126.683914	 330524914	     1572	2000	       12	      163	       38	        5	        3	-	A
13260457126.695007	 330536007	     1151	2000	        6	      109	       32	        3	        2	-	A
13260457126.705023	 330546023	     1919	1458	      868	      159	       12	       76	        4	-	A
13260457126.709097	 330550096	     1144	2000	        7	      119	       23	        3	        2	-	A
13260457126.713587	 330554587	     6235	2000	     1761	      701	      136	      159	       13	-	A
13260457126.722124	 330563125	     1410	 564	      423	      105	        0	       38	        0	-	A
13260457126.734426	 330575425	     1126	 596	       15	       93	        0	        4	        0	-	A
13260457126.739302	 330580302	     2568	 526	        6	      181	        0	        2	        0	-	A
13260457126.751505	 330592504	     1214	1568	       79	      124	       25	       24	       11	-	A
13260457126.754543	 330595544	     1150	 706	      160	       86	        1	       19	        1	-	A
13260457126.757856	 330598856	    13921	2000	        1	     1981	      510	        1	        1	-	A
13260457126.777969	 330618969	     4734	1310	      241	      608	       30	       33	        5	-	A
13260457126.784863	 330625862	     1233	 550	       67	       91	        0	       11	        0	-	A
13260457126.798674	 330639674	     1309	 658	      307	      104	        1	       30	        1	-	A
13260457126.802103	 330643103	     1096	2000	       10	      109	       19	        4	        2	-	A
13260457126.807873	 330648872	    21343	2000	     1102	     2626	      229	      203	       28	-	A
13260457126.832317	 330673316	     2867	2000	      574	      326	       67	       74	       16	-	A
13260457126.836803	 330677803	     2428	 894	      519	      182	        1	       39	        1	-	A
13260457126.841616	 330682616	     4335	2000	     1127	      403	       66	      110	       20	-	A
13260457126.848362	 330689362	     1125	 432	        0	       70	        0	        0	        0	-	A
13260457126.860401	 330701402	     3854	 870	     1832	      276	        3	      126	        2	-	A
13260457126.871202	 330712201	     2143	1090	     1128	      168	        7	       90	        6	-	A
13260457126.875641	 330716640	     1303	 854	      118	      122	        6	       29	        6	-	A
13260457126.892559	 330733559	     6305	2000	     1331	      562	       62	      141	       14	-	A
13260457126.919731	 330760731	     2639	2000	       92	      288	       64	       27	       11	-	A
13260457126.926115	 330767115	     1468	2000	      272	      125	       28	       24	        6	-	A
13260457126.937368	 330778368	     1496	 612	      516	       99	        1	       35	        1	-	A
13260457126.954199	 330795199	     1497	2000	        4	      126	       34	        2	        2	-	A
13260457133.799633	 337640633	     1100	 792	       14	       85	        3	        4	        2	+	A
13260457133.984259	 337825259	     1374	2000	       13	      124	       33	        4	        3	-	A
13260457134.184313	 338025313	     1319	2000	       27	      128	       33	        8	        7	-	A
13260457134.222799	 338063798	     1204	 674	       55	       99	        1	        9	        1	-	A
13260457136.303286	 340144287	     1447	 448	        0	      109	        0	        0	        0	+	A
13260457136.329435	 340170435	     1427	 942	      267	      118	        4	       32	        4	-	A
13260457136.340124	 340181124	     2067	 478	      960	      151	        0	       72	        0	-	A
13260457136.387106	 340228106	     1327	2000	        4	      168	       63	        2	        2	-	A
13260457136.418207	 340259206	     1553	 666	      521	      122	        3	       45	        3	-	A
13260457136.447601	 340288601	     1630	2000	      385	      141	       30	       42	       12	-	A
13260457136.467943	 340308942	     1129	 462	        0	       78	        0	        0	        0	-	A
13260457136.555780	 340396781	     2010	 550	      942	      142	        0	       69	        0	-	A
13260457136.578651	 340419651	     1093	 572	       54	       93	        0	       11	        0	-	A
13260457136.661564	 340502563	     1957	1254	        6	      161	        8	        3	        3	-	A
13260457136.672695	 340513695	     2889	 564	      450	      228	        0	       49	        0	-	A
13260457136.686787	 340527787	     1646	 534	        0	      110	        0	        0	        0	-	A
13260457136.691292	 340532291	     8885	2000	     3720	      901	      109	      354	       33	-	A
13260457136.705763	 340546764	     6189	 722	     1414	      438	        4	      119	        3	-	A
13260457136.745090	 340586092	     3261	1356	      931	      295	       23	       91	        7	-	A
13260457136.761364	 340602364	     6125	1420	     3311	      582	       34	      338	       16	-	A
13260457136.804289	 340645289	     5665	2000	      339	      519	       69	       30	        2	+	A
13260457136.812126	 340653126	     1989	1278	      287	      165	        8	       25	        6	-	A
13260457136.839432	 340680432	     1498	 448	       54	       98	        0	        4	        0	-	A
13260457136.848993	 340689993	     1441	 494	        0	      113	        0	        0	        0	-	A
13260457136.868406	 340709406	     4173	2000	     1149	      405	       40	      104	        5	-	A
13260457136.874332	 340715332	     3317	2000	     1019	      292	       26	       75	        6	-	A
13260457136.890259	 340731259	     2208	 840	       19	      165	        5	        6	        4	-	A
13260457136.898230	 340739231	     1387	 416	        0	       83	        0	        0	        0	-	A
13260457136.921713	 340762713	     1409	 494	      360	      109	        0	       34	        0	-	A
13260457136.924152	 340765152	     1626	 432	      133	      110	        0	       11	        0	-	A
13260457136.954304	 340795304	     2019	1670	      961	      180	       23	       93	       15	-	A
13260457136.957428	 340798429	     1326	 674	        1	       99	        2	        1	        1	-	A
13260457136.961575	 340802575	     1389	 604	      240	      104	        0	       22	        0	-	A
13260457136.967636	 340808637	     1214	 556	        0	       89	        0	        0	        0	-	A
13260457137.029341	 340870340	    20887	2000	     3541	     2570	      326	      267	        4	-	A
13260457137.119656	 340960656	    18332	2000	    14883	     1653	       48	     1312	       19	-	A
13260457137.142473	 340983474	     1564	 454	        1	      117	        0	        1	        0	-	A
13260457137.145678	 340986676	     1591	2000	       18	      195	       52	        6	        5	-	A
13260457137.149227	 340990227	     1272	 870	        7	      109	        4	        3	        1	-	A
13260457137.153133	 340994133	     2071	 848	      664	      199	        9	       63	        2	-	A
13260457137.164087	 341005088	     2332	2000	      933	      237	       35	       73	        4	-	A
13260457137.174110	 341015110	     3366	1444	      980	      286	       12	       82	        3	-	A
13260457137.179934	 341020933	     1287	 416	      294	       97	        0	       23	        0	-	A
13260457137.182467	 341023465	    11699	 674	    10249	      894	        1	      780	        1	-	A
13260457137.199844	 341040845	     1761	 408	        0	      133	        0	        0	        0	-	A
13260457137.203735	 341044734	     4942	 424	      227	      371	        0	       18	        0	-	A
13260457137.212049	 341053050	     4803	 526	     3053	      362	        0	      229	        0	-	A
13260457137.291662	 341132663	     1334	 542	        0	      107	        0	        0	        0	-	A
13260457137.295115	 341136114	     3562	 580	     2559	      278	        0	      196	        0	-	A
13260457137.303591	 341144590	     1263	 542	       54	       96	        0	        6	        0	-	A
13260457137.321167	 341162167	     1525	 454	      547	      118	        0	       44	        0	-	A
13260457137.364105	 341205106	     3357	 588	      700	      260	        0	       57	        0	-	A
13260457137.403566	 341244566	     1946	 408	        0	      147	        0	        0	        0	-	A
13260457137.410959	 341251959	     1622	 612	      574	      128	        1	       48	        1	-	A
13260457137.469210	 341310209	     1229	 486	      107	      103	        0	       15	        0	-	A
13260457137.532248	 341373248	     2862	2000	       12	      272	       90	        2	        3	-	A
13260457137.541063	 341382064	    16078	2000	      856	     2269	      484	      119	       54	-	A
13260457137.573408	 341414408	     1688	2000	      581	      151	       24	       52	       15	-	A
