# Count a RMS AE jednotky 18.01
# form·t ¯·dku: Ëas, c1 [count], c2 [count], rms [mV]
#
# konfigurace jednotky:
# zesÌlenÌ g=35 [dB]
# maxim·lnÌ rozsah mÏ¯enÌ adc=2000 [mV]
# count prahy c1=204 [mV], c2=604 [mV]
# ud·lostnÌ prahy es=400 [mV], ee=400 [mV], mrtv· doba dt=992 [us]
# osciloskop trg=400 [mV], pamÏù sm=12000 [slov], pretrigger pt=500 [slov]
# osciloskop perioda pr=500 [ms], timeout to=5000 [ms], vzorkov·nÌ rt=4 [MHz]
# trigger zdroj ts=(TRG_EVENT), master tm=()
# interval count ic=1000 [ms]
#
# hodnota 'cycle': 2021/03/17 12:13:16.159000
13260456898.193403	    62339	        0	   91.885
13260456899.193085	    62151	        0	   91.837
13260456900.192764	    61881	        0	   91.771
13260456901.192465	    62278	        0	   91.880
13260456902.192146	    62008	        0	   91.785
13260456903.191826	    62030	        0	   91.780
13260456904.191505	    61941	        0	   91.756
13260456905.191185	    61947	        0	   91.677
13260456906.190886	    62001	        0	   91.771
13260456907.190567	    61881	        0	   91.606
13260456908.190247	    61870	        0	   91.640
13260456909.189928	    61524	        0	   91.487
13260456910.189608	    61579	        0	   91.418
13260456911.189308	    61781	        0	   91.506
13260456912.188990	    61644	        0	   91.447
13260456913.188671	    61704	        0	   91.453
13260456914.188351	    61551	        0	   91.364
13260456915.188030	    61599	        0	   91.387
13260456916.187710	    61848	        0	   91.492
13260456917.187391	    61577	        0	   91.329
13260456962.173203	    59803	        0	   89.574
13260456963.172884	    60085	        0	   89.702
13260456964.172565	    59839	        0	   89.583
13260456965.172247	    59843	        0	   89.644
13260456966.171928	    60265	        0	   89.724
13260456967.171949	    60588	       56	   94.965
13260456968.171709	    60434	        0	   91.936
13260456969.171391	    60819	        0	   89.791
13260456970.171070	    60114	        0	   89.325
13260456971.170752	    59910	        0	   89.177
13260456972.170433	    59983	        0	   89.183
13260456973.170134	    60543	        0	   89.386
13260456974.169815	    60652	        0	   89.318
13260456975.169497	    59450	        0	   88.706
13260456976.169178	    59150	        0	   88.502
13260456977.168858	    59063	        0	   88.565
13260456978.168541	    59248	        0	   88.596
13260456979.168221	    59045	        0	   88.500
13260456980.167902	    59563	        0	   88.683
13260456981.167582	    60350	        0	   88.807
13260456982.167265	    60567	        0	   88.828
13260456983.166965	    60716	        0	   88.900
13260456984.166647	    60515	        0	   88.862
13260456985.166327	    60654	        0	   88.863
13260456986.166008	    60010	        0	   88.670
13260456987.165689	    59342	        0	   88.421
13260456988.165390	    59355	        0	   88.371
13260456989.165071	    59334	       14	   88.519
13260456990.164753	    59180	        0	   88.295
13260456991.164434	    59075	        0	   88.251
13260456992.164116	    59120	        0	   88.268
13260456993.163795	    59265	        0	   88.243
13260456994.163498	    59406	        0	   88.316
13260456995.163179	    59267	        0	   88.215
13260456996.162861	    59220	       22	   88.723
13260456997.162521	    59314	        0	   88.144
13260456998.162201	    59393	        0	   88.182
13260456999.161903	    59593	        0	   88.221
13260457000.161585	    59618	        0	   88.182
13260457001.161266	    59594	        0	   88.175
13260457002.160948	    59550	        0	   88.071
13260457003.160629	    59535	        0	   88.046
13260457004.160330	    59739	        0	   88.093
13260457005.160011	    59692	        0	   87.988
13260457006.159693	    59710	        0	   87.860
13260457007.159374	    59589	        0	   87.634
13260457008.159056	    59602	        0	   87.523
13260457009.158756	    59660	        0	   87.465
13260457010.158438	    58151	        0	   86.896
13260457011.158119	    59132	        0	   86.994
13260457012.157801	    59394	        0	   86.998
13260457013.157484	    59831	        0	   86.976
13260457014.157185	    60167	        0	   86.904
13260457015.156866	    60084	        0	   86.804
13260457016.156548	    60375	        0	   86.875
13260457017.156227	    60437	        0	   86.790
13260457018.155910	    60781	        2	   86.785
13260457019.155590	    61012	        0	   86.815
13260457020.155273	    61397	        0	   86.784
13260457021.154953	    61756	        1	   86.833
13260457022.154636	    61894	        1	   86.823
13260457023.154316	    61974	        0	   86.734
13260457024.153999	    61681	        0	   86.303
13260457025.153700	    62007	        2	   86.361
13260457026.153402	    60587	        0	   85.454
13260457027.153084	    60586	        0	   85.385
13260457028.152765	    60909	        0	   85.537
13260457029.152426	    61307	        5	   85.744
13260457030.152109	    61737	        0	   85.909
13260457031.151789	    61946	        0	   85.940
13260457032.151470	    62081	        0	   86.070
13260457033.151152	    62222	        0	   86.118
13260457034.150833	    62376	        0	   86.199
13260457035.150515	    62757	       19	   86.441
13260457036.150196	    62723	        0	   86.280
13260457037.149899	    62931	        0	   86.381
13260457038.149580	    63367	       87	   89.089
13260457039.149242	    63405	       17	   86.578
13260457040.148905	    63411	        0	   86.379
13260457041.148586	    63174	        0	   86.563
13260457042.148268	    63034	        0	   86.463
13260457043.147949	    63119	        0	   86.481
13260457044.147631	    63563	        0	   86.547
13260457045.147331	    63534	        0	   86.673
13260457046.147015	    63371	        0	   86.648
13260457047.146694	    63360	        0	   86.673
13260457048.146378	    63509	        0	   86.751
13260457049.146059	    63250	        0	   86.669
13260457050.145741	    63350	        0	   86.713
13260457051.145422	    63734	        0	   86.890
13260457052.145105	    63547	        0	   86.875
13260457053.144785	    63453	        0	   86.868
13260457054.144466	    63348	        0	   86.941
13260457055.144150	    63409	        0	   86.960
13260457056.143831	    63559	        0	   87.047
13260457057.143513	    63499	        4	   87.010
13260457058.143196	    63408	        0	   87.008
13260457059.142878	    63497	        0	   87.053
13260457060.142559	    63349	        0	   87.004
13260457061.142242	    63484	        1	   87.125
13260457062.141924	    63021	        0	   86.901
13260457063.141605	    62916	        2	   86.916
