ASCII data file created with TiePie Multi Channel software. www.tiepie.com.
2020-04-30 09:24:23 094m





Relative time;HS4-50(17297).Kladivko;HS4-50(17297).Snimac1;HS4-50(17297).Snimac2
s;V;V;V
-0.0493312;2.5E-5;6.3E-5;0.0083
-0.04932608;-2.5E-5;6.3E-5;0.0076
-0.04932096;0;7.5E-5;0.0078
-0.04931584;-2.5E-5;3.1E-5;0.0083
-0.04931072;-7.6E-5;-1.3E-5;0.0081
-0.0493056;0;2.5E-5;0.0076
-0.04930048;-5.1E-5;5.7E-5;0.0076
-0.04929536;0;0.0001;0.0081
-0.04929024;2.5E-5;6.3E-5;0.0076
-0.04928512;7.6E-5;9.4E-5;0.0073
-0.04928;5.1E-5;0.00015;0.0073
-0.04927488;-5.1E-5;0.00013;0.0083
-0.04926976;-5.1E-5;0.00011;0.0076
-0.04926464;-5.1E-5;0.00013;0.0076
-0.04925952;0;0.00021;0.0081
-0.0492544;7.6E-5;0.00023;0.0073
-0.04924928;0.0001;0.00023;0.0073
-0.04924416;5.1E-5;0.00019;0.0073
-0.04923904;2.5E-5;0.0001;0.0076
-0.04923392;7.6E-5;0.00013;0.0076
-0.0492288;0;0.00012;0.0076
-0.04922368;5.1E-5;0.00016;0.0071
-0.04921856;-2.5E-5;0.00013;0.0073
-0.04921344;5.1E-5;0.00014;0.0071
-0.04920832;0;0.00016;0.0076
-0.0492032;-2.5E-5;0.00013;0.0078
-0.04919808;2.5E-5;0.00014;0.0073
-0.04919296;0;0.00013;0.0073
-0.04918784;-5.1E-5;0.00013;0.0076
-0.04918272;0;0.00017;0.0078
-0.0491776;-2.5E-5;0.00014;0.0073
-0.04917248;0.0001;0.00016;0.0068
-0.04916736;7.6E-5;0.00018;0.0073
-0.04916224;5.1E-5;0.0001;0.0076
-0.04915712;-5.1E-5;9.4E-5;0.0078
-0.049152;2.5E-5;9.4E-5;0.0078
-0.04914688;-2.5E-5;8.8E-5;0.0078
-0.04914176;-7.6E-5;8.8E-5;0.0076
-0.04913664;-7.6E-5;5.7E-5;0.0076
-0.04913152;0;4.4E-5;0.0073
-0.0491264;0;6.9E-5;0.0081
-0.04912128;0;0.00011;0.0081
-0.04911616;5.1E-5;0.00013;0.0073
-0.04911104;-2.5E-5;1.9E-5;0.0078
-0.04910592;2.5E-5;-6.3E-6;0.0083
-0.0491008;0;2.5E-5;0.0076
-0.04909568;2.5E-5;-6.3E-6;0.0078
-0.04909056;2.5E-5;2.5E-5;0.0078
-0.04908544;-5.1E-5;-1.9E-5;0.0081
-0.04908032;5.1E-5;6.9E-5;0.0076
-0.0490752;-5.1E-5;8.2E-5;0.0078
-0.04907008;5.1E-5;0.00014;0.0083
-0.04906496;0;0.00018;0.0083
-0.04905984;-2.5E-5;0.00023;0.0081
-0.04905472;-2.5E-5;0.00025;0.0086
-0.0490496;-5.1E-5;0.00024;0.0078
-0.04904448;-2.5E-5;0.00026;0.0081
-0.04903936;2.5E-5;0.0002;0.0081
-0.04903424;0;0.00014;0.0078
-0.04902912;2.5E-5;0.00013;0.0081
-0.049024;7.6E-5;0.00013;0.0081
-0.04901888;-7.6E-5;9.4E-5;0.0081
-0.04901376;2.5E-5;0.00013;0.0081
-0.04900864;0;7.5E-5;0.0078
-0.04900352;0;6.3E-5;0.0083
-0.0489984;0.00013;8.2E-5;0.0081
-0.04899328;0.00015;0.00014;0.0076
-0.04898816;7.6E-5;0.00012;0.0081
-0.04898304;2.5E-5;8.8E-5;0.0083
