0.02	0.00	17.22
0.04	0.00	20.07
0.06	0.01	21.24
0.08	0.01	22.92
0.10	0.01	23.58
0.12	0.01	24.93
0.14	0.01	26.10
0.16	0.01	27.09
0.18	0.01	27.93
0.20	0.01	28.44
0.22	0.01	29.28
0.24	0.01	30.27
0.26	0.01	31.11
0.28	0.01	31.77
0.30	0.01	32.79
0.32	0.01	33.45
0.34	0.01	33.63
0.36	0.01	34.44
0.38	0.01	34.95
0.40	0.01	35.79
0.42	0.01	36.45
0.44	0.01	36.96
0.46	0.02	37.47
0.48	0.02	37.80
0.50	0.02	38.79
0.52	0.02	39.48
0.54	0.02	40.14
0.56	0.02	40.80
0.58	0.02	41.31
0.60	0.02	41.97
0.62	0.02	42.48
0.64	0.02	41.64
0.66	0.02	37.47
0.68	0.02	36.63
0.70	0.02	37.14
0.72	0.02	38.13
0.74	0.02	38.79
0.76	0.02	39.63
0.78	0.02	40.47
0.80	0.02	41.13
0.82	0.02	41.46
0.84	0.03	42.15
0.86	0.03	42.81
0.88	0.03	43.32
0.90	0.03	43.65
0.92	0.03	44.49
0.94	0.03	44.97
0.96	0.03	45.48
0.98	0.03	45.81
1.00	0.03	46.32
1.02	0.03	47.16
1.04	0.03	47.67
1.06	0.03	48.33
1.08	0.03	49.17
1.10	0.03	49.50
1.12	0.03	50.16
1.14	0.04	50.67
1.16	0.04	51.51
1.18	0.04	51.66
1.20	0.04	52.17
1.22	0.04	52.83
1.24	0.04	53.52
1.26	0.04	53.67
1.28	0.04	54.18
1.30	0.04	54.69
1.32	0.04	55.17
1.34	0.04	55.17
1.36	0.04	55.86
1.38	0.04	56.19
1.40	0.04	56.70
1.42	0.04	56.52
1.44	0.05	56.85
1.46	0.05	57.69
1.48	0.05	58.02
1.50	0.05	58.53
1.52	0.05	58.86
1.54	0.05	59.37
1.56	0.05	60.54
1.58	0.05	60.36
1.60	0.05	60.69
1.62	0.05	61.53
1.64	0.05	61.86
1.66	0.05	62.55
1.68	0.05	63.03
1.70	0.05	63.21
1.72	0.06	63.87
1.74	0.06	64.20
1.76	0.06	64.71
1.78	0.06	65.37
1.80	0.06	65.55
1.82	0.06	66.39
1.84	0.06	66.90
1.86	0.06	67.23
1.88	0.06	67.71
1.90	0.06	67.71
1.92	0.06	68.40
1.94	0.06	68.73
1.96	0.07	69.24
1.98	0.07	69.39
2.00	0.07	70.05
2.02	0.07	70.56
2.04	0.07	70.89
2.06	0.07	71.22
2.08	0.07	71.73
2.10	0.07	72.24
2.12	0.07	72.39
2.14	0.07	72.75
2.16	0.07	72.75
2.18	0.07	73.74
2.20	0.08	73.74
2.22	0.08	74.73
2.24	0.08	75.09
2.26	0.08	74.91
2.28	0.08	75.57
2.30	0.08	76.08
2.32	0.08	76.26
2.34	0.08	77.07
2.36	0.08	77.25
2.38	0.08	77.91
2.40	0.09	78.09
2.42	0.09	78.75
2.44	0.09	78.60
2.46	0.09	79.59
2.48	0.09	79.59
2.50	0.09	79.77
2.52	0.09	80.25
2.54	0.09	80.43
2.56	0.09	80.94
2.58	0.09	81.09
2.60	0.09	81.60
2.62	0.10	81.75
2.64	0.10	82.11
2.66	0.10	82.92
2.68	0.10	82.92
2.70	0.10	83.43
2.72	0.10	83.61
2.74	0.10	84.27
2.76	0.10	84.78
2.78	0.10	85.62
2.80	0.10	86.28
2.82	0.11	85.95
2.84	0.11	86.94
2.86	0.11	87.12
2.88	0.11	87.63
